hour,year,month,day,hour_of_day,bus1,bus2,bus3,bus4,bus5,bus6
117,2015,1,5,21,0.000000,0.000000,0.000000,113.083178,113.083178,150.777571
118,2015,1,5,22,0.000000,0.000000,0.000000,106.452831,106.452831,141.937108
119,2015,1,5,23,0.000000,0.000000,0.000000,100.823550,100.823550,134.431401
120,2015,1,5,24,0.000000,0.000000,0.000000,103.452947,103.452947,137.937262
121,2015,1,6,1,0.000000,0.000000,0.000000,97.325297,97.325297,129.767063
122,2015,1,6,2,0.000000,0.000000,0.000000,100.986091,100.986091,134.648122
123,2015,1,6,3,0.000000,0.000000,0.000000,94.920821,94.920821,126.561095
124,2015,1,6,4,0.000000,0.000000,0.000000,92.000449,92.000449,122.667265
125,2015,1,6,5,0.000000,0.000000,0.000000,93.614192,93.614192,124.818922
126,2015,1,6,6,0.000000,0.000000,0.000000,98.265859,98.265859,131.021145
127,2015,1,6,7,0.000000,0.000000,0.000000,108.692081,108.692081,144.922774
128,2015,1,6,8,0.000000,0.000000,0.000000,114.860574,114.860574,153.147432
129,2015,1,6,9,0.000000,0.000000,0.000000,120.916886,120.916886,161.222514
130,2015,1,6,10,0.000000,0.000000,0.000000,123.087765,123.087765,164.117019
131,2015,1,6,11,0.000000,0.000000,0.000000,124.103146,124.103146,165.470861
132,2015,1,6,12,0.000000,0.000000,0.000000,123.873752,123.873752,165.165003
133,2015,1,6,13,0.000000,0.000000,0.000000,123.702221,123.702221,164.936295
134,2015,1,6,14,0.000000,0.000000,0.000000,123.719071,123.719071,164.958761
135,2015,1,6,15,0.000000,0.000000,0.000000,125.120775,125.120775,166.827701
136,2015,1,6,16,0.000000,0.000000,0.000000,127.553803,127.553803,170.071737
137,2015,1,6,17,0.000000,0.000000,0.000000,126.913639,126.913639,169.218185
138,2015,1,6,18,0.000000,0.000000,0.000000,119.800574,119.800574,159.734099
139,2015,1,6,19,0.000000,0.000000,0.000000,113.450289,113.450289,151.267052
140,2015,1,6,20,0.000000,0.000000,0.000000,109.057670,109.057670,145.410227
141,2015,1,6,21,0.000000,0.000000,0.000000,109.263464,109.263464,145.684619
142,2015,1,6,22,0.000000,0.000000,0.000000,103.305365,103.305365,137.740487
143,2015,1,6,23,0.000000,0.000000,0.000000,97.965443,97.965443,130.620591
144,2015,1,6,24,0.000000,0.000000,0.000000,100.935852,100.935852,134.581136
145,2015,1,7,1,0.000000,0.000000,0.000000,94.496003,94.496003,125.994671
146,2015,1,7,2,0.000000,0.000000,0.000000,97.710450,97.710450,130.280600
147,2015,1,7,3,0.000000,0.000000,0.000000,91.883022,91.883022,122.510696
148,2015,1,7,4,0.000000,0.000000,0.000000,89.359575,89.359575,119.146100
149,2015,1,7,5,0.000000,0.000000,0.000000,90.597164,90.597164,120.796219
150,2015,1,7,6,0.000000,0.000000,0.000000,95.806517,95.806517,127.742023
151,2015,1,7,7,0.000000,0.000000,0.000000,106.353507,106.353507,141.804675
152,2015,1,7,8,0.000000,0.000000,0.000000,110.842939,110.842939,147.790585
153,2015,1,7,9,0.000000,0.000000,0.000000,114.369459,114.369459,152.492612
154,2015,1,7,10,0.000000,0.000000,0.000000,115.756068,115.756068,154.341424
155,2015,1,7,11,0.000000,0.000000,0.000000,116.384492,116.384492,155.179323
156,2015,1,7,12,0.000000,0.000000,0.000000,116.278231,116.278231,155.037641
157,2015,1,7,13,0.000000,0.000000,0.000000,115.102821,115.102821,153.470428
158,2015,1,7,14,0.000000,0.000000,0.000000,114.066748,114.066748,152.088997
159,2015,1,7,15,0.000000,0.000000,0.000000,114.503205,114.503205,152.670940
160,2015,1,7,16,0.000000,0.000000,0.000000,116.395413,116.395413,155.193884
161,2015,1,7,17,0.000000,0.000000,0.000000,116.408957,116.408957,155.211942
162,2015,1,7,18,0.000000,0.000000,0.000000,112.022977,112.022977,149.363970
163,2015,1,7,19,0.000000,0.000000,0.000000,106.853346,106.853346,142.471128
164,2015,1,7,20,0.000000,0.000000,0.000000,104.990448,104.990448,139.987264
165,2015,1,7,21,0.000000,0.000000,0.000000,106.980681,106.980681,142.640908
166,2015,1,7,22,0.000000,0.000000,0.000000,101.526240,101.526240,135.368320
167,2015,1,7,23,0.000000,0.000000,0.000000,96.488871,96.488871,128.651828
168,2015,1,7,24,0.000000,0.000000,0.000000,100.862371,100.862371,134.483161
169,2015,1,8,1,0.000000,0.000000,0.000000,94.594301,94.594301,126.125735
170,2015,1,8,2,0.000000,0.000000,0.000000,97.886561,97.886561,130.515414
171,2015,1,8,3,0.000000,0.000000,0.000000,90.957132,90.957132,121.276176
172,2015,1,8,4,0.000000,0.000000,0.000000,88.498382,88.498382,117.997843
173,2015,1,8,5,0.000000,0.000000,0.000000,90.071015,90.071015,120.094687
174,2015,1,8,6,0.000000,0.000000,0.000000,95.769386,95.769386,127.692514
175,2015,1,8,7,0.000000,0.000000,0.000000,108.318587,108.318587,144.424783
176,2015,1,8,8,0.000000,0.000000,0.000000,115.033582,115.033582,153.378109
177,2015,1,8,9,0.000000,0.000000,0.000000,119.464298,119.464298,159.285730
178,2015,1,8,10,0.000000,0.000000,0.000000,120.952247,120.952247,161.269662
179,2015,1,8,11,0.000000,0.000000,0.000000,119.585394,119.585394,159.447192
180,2015,1,8,12,0.000000,0.000000,0.000000,118.553847,118.553847,158.071796
181,2015,1,8,13,0.000000,0.000000,0.000000,116.956976,116.956976,155.942634
182,2015,1,8,14,0.000000,0.000000,0.000000,116.199622,116.199622,154.932830
183,2015,1,8,15,0.000000,0.000000,0.000000,117.634364,117.634364,156.845819
184,2015,1,8,16,0.000000,0.000000,0.000000,120.654682,120.654682,160.872909
185,2015,1,8,17,0.000000,0.000000,0.000000,122.714729,122.714729,163.619639
186,2015,1,8,18,0.000000,0.000000,0.000000,119.967561,119.967561,159.956748
187,2015,1,8,19,0.000000,0.000000,0.000000,115.352316,115.352316,153.803088
188,2015,1,8,20,0.000000,0.000000,0.000000,111.057255,111.057255,148.076341
189,2015,1,8,21,0.000000,0.000000,0.000000,110.598968,110.598968,147.465291
190,2015,1,8,22,0.000000,0.000000,0.000000,105.689332,105.689332,140.919110
191,2015,1,8,23,0.000000,0.000000,0.000000,100.637544,100.637544,134.183392
192,2015,1,8,24,0.000000,0.000000,0.000000,102.244596,102.244596,136.326127
193,2015,1,9,1,0.000000,0.000000,0.000000,95.372268,95.372268,127.163025
194,2015,1,9,2,0.000000,0.000000,0.000000,98.879253,98.879253,131.839004
195,2015,1,9,3,0.000000,0.000000,0.000000,92.967308,92.967308,123.956411
196,2015,1,9,4,0.000000,0.000000,0.000000,91.188217,91.188217,121.584289
197,2015,1,9,5,0.000000,0.000000,0.000000,92.534201,92.534201,123.378934
198,2015,1,9,6,0.000000,0.000000,0.000000,99.582703,99.582703,132.776938
199,2015,1,9,7,0.000000,0.000000,0.000000,110.863791,110.863791,147.818388
200,2015,1,9,8,0.000000,0.000000,0.000000,117.929718,117.929718,157.239623
201,2015,1,9,9,0.000000,0.000000,0.000000,124.697922,124.697922,166.263896
202,2015,1,9,10,0.000000,0.000000,0.000000,129.598290,129.598290,172.797721
203,2015,1,9,11,0.000000,0.000000,0.000000,135.176573,135.176573,180.235431
204,2015,1,9,12,0.000000,0.000000,0.000000,139.162944,139.162944,185.550592
205,2015,1,9,13,0.000000,0.000000,0.000000,142.286778,142.286778,189.715703
206,2015,1,9,14,0.000000,0.000000,0.000000,142.962074,142.962074,190.616099
207,2015,1,9,15,0.000000,0.000000,0.000000,146.373893,146.373893,195.165191
208,2015,1,9,16,0.000000,0.000000,0.000000,152.857031,152.857031,203.809375
209,2015,1,9,17,0.000000,0.000000,0.000000,159.311533,159.311533,212.415377
210,2015,1,9,18,0.000000,0.000000,0.000000,158.372193,158.372193,211.162924
211,2015,1,9,19,0.000000,0.000000,0.000000,154.126784,154.126784,205.502379
212,2015,1,9,20,0.000000,0.000000,0.000000,147.268775,147.268775,196.358367
213,2015,1,9,21,0.000000,0.000000,0.000000,140.096954,140.096954,186.795939
214,2015,1,9,22,0.000000,0.000000,0.000000,127.016976,127.016976,169.355968
215,2015,1,9,23,0.000000,0.000000,0.000000,115.568269,115.568269,154.091025
216,2015,1,9,24,0.000000,0.000000,0.000000,113.317825,113.317825,151.090433
217,2015,1,10,1,0.000000,0.000000,0.000000,102.531077,102.531077,136.708103
218,2015,1,10,2,0.000000,0.000000,0.000000,103.467865,103.467865,137.957154
219,2015,1,10,3,0.000000,0.000000,0.000000,94.475146,94.475146,125.966862
220,2015,1,10,4,0.000000,0.000000,0.000000,91.670289,91.670289,122.227051
221,2015,1,10,5,0.000000,0.000000,0.000000,92.810862,92.810862,123.747816
222,2015,1,10,6,0.000000,0.000000,0.000000,93.821612,93.821612,125.095483
223,2015,1,10,7,0.000000,0.000000,0.000000,100.067072,100.067072,133.422763
224,2015,1,10,8,0.000000,0.000000,0.000000,109.378879,109.378879,145.838505
225,2015,1,10,9,0.000000,0.000000,0.000000,121.128161,121.128161,161.504215
226,2015,1,10,10,0.000000,0.000000,0.000000,130.737634,130.737634,174.316845
227,2015,1,10,11,0.000000,0.000000,0.000000,137.645805,137.645805,183.527741
228,2015,1,10,12,0.000000,0.000000,0.000000,138.591808,138.591808,184.789078
229,2015,1,10,13,0.000000,0.000000,0.000000,139.200697,139.200697,185.600930
230,2015,1,10,14,0.000000,0.000000,0.000000,138.634050,138.634050,184.845400
231,2015,1,10,15,0.000000,0.000000,0.000000,139.532305,139.532305,186.043073
232,2015,1,10,16,0.000000,0.000000,0.000000,140.506887,140.506887,187.342516
233,2015,1,10,17,0.000000,0.000000,0.000000,140.575502,140.575502,187.434003
234,2015,1,10,18,0.000000,0.000000,0.000000,139.068229,139.068229,185.424305
235,2015,1,10,19,0.000000,0.000000,0.000000,131.818827,131.818827,175.758436
236,2015,1,10,20,0.000000,0.000000,0.000000,123.926579,123.926579,165.235439
237,2015,1,10,21,0.000000,0.000000,0.000000,120.496776,120.496776,160.662367
238,2015,1,10,22,0.000000,0.000000,0.000000,113.541985,113.541985,151.389313
239,2015,1,10,23,0.000000,0.000000,0.000000,106.981558,106.981558,142.642078
240,2015,1,10,24,0.000000,0.000000,0.000000,106.954801,106.954801,142.606401
241,2015,1,11,1,0.000000,0.000000,0.000000,98.517632,98.517632,131.356843
242,2015,1,11,2,0.000000,0.000000,0.000000,100.455404,100.455404,133.940538
243,2015,1,11,3,0.000000,0.000000,0.000000,91.636444,91.636444,122.181926
244,2015,1,11,4,0.000000,0.000000,0.000000,88.575020,88.575020,118.100026
245,2015,1,11,5,0.000000,0.000000,0.000000,89.542456,89.542456,119.389941
246,2015,1,11,6,0.000000,0.000000,0.000000,88.700086,88.700086,118.266781
247,2015,1,11,7,0.000000,0.000000,0.000000,91.511799,91.511799,122.015732
248,2015,1,11,8,0.000000,0.000000,0.000000,96.756596,96.756596,129.008794
249,2015,1,11,9,0.000000,0.000000,0.000000,103.969983,103.969983,138.626645
250,2015,1,11,10,0.000000,0.000000,0.000000,110.031826,110.031826,146.709101
251,2015,1,11,11,0.000000,0.000000,0.000000,114.968595,114.968595,153.291460
252,2015,1,11,12,0.000000,0.000000,0.000000,117.832893,117.832893,157.110524
253,2015,1,11,13,0.000000,0.000000,0.000000,120.229736,120.229736,160.306315
254,2015,1,11,14,0.000000,0.000000,0.000000,123.872921,123.872921,165.163895
255,2015,1,11,15,0.000000,0.000000,0.000000,129.543771,129.543771,172.725028
256,2015,1,11,16,0.000000,0.000000,0.000000,135.022215,135.022215,180.029620
257,2015,1,11,17,0.000000,0.000000,0.000000,140.712865,140.712865,187.617153
258,2015,1,11,18,0.000000,0.000000,0.000000,144.000093,144.000093,192.000123
259,2015,1,11,19,0.000000,0.000000,0.000000,141.788529,141.788529,189.051373
260,2015,1,11,20,0.000000,0.000000,0.000000,135.714718,135.714718,180.952957
261,2015,1,11,21,0.000000,0.000000,0.000000,132.903152,132.903152,177.204203
262,2015,1,11,22,0.000000,0.000000,0.000000,120.987856,120.987856,161.317142
263,2015,1,11,23,0.000000,0.000000,0.000000,109.887695,109.887695,146.516926
264,2015,1,11,24,0.000000,0.000000,0.000000,107.982443,107.982443,143.976590
265,2015,1,12,1,0.000000,0.000000,0.000000,99.720571,99.720571,132.960761
266,2015,1,12,2,0.000000,0.000000,0.000000,103.582268,103.582268,138.109691
267,2015,1,12,3,0.000000,0.000000,0.000000,97.122209,97.122209,129.496278
268,2015,1,12,4,0.000000,0.000000,0.000000,94.596719,94.596719,126.128958
269,2015,1,12,5,0.000000,0.000000,0.000000,97.876034,97.876034,130.501379
270,2015,1,12,6,0.000000,0.000000,0.000000,107.471427,107.471427,143.295236
271,2015,1,12,7,0.000000,0.000000,0.000000,122.473145,122.473145,163.297527
272,2015,1,12,8,0.000000,0.000000,0.000000,133.929263,133.929263,178.572351
273,2015,1,12,9,0.000000,0.000000,0.000000,149.422968,149.422968,199.230624
274,2015,1,12,10,0.000000,0.000000,0.000000,160.323739,160.323739,213.764985
275,2015,1,12,11,0.000000,0.000000,0.000000,171.182396,171.182396,228.243195
276,2015,1,12,12,0.000000,0.000000,0.000000,181.431369,181.431369,241.908492
277,2015,1,12,13,0.000000,0.000000,0.000000,187.277878,187.277878,249.703837
278,2015,1,12,14,0.000000,0.000000,0.000000,191.614011,191.614011,255.485348
279,2015,1,12,15,0.000000,0.000000,0.000000,191.206795,191.206795,254.942394
280,2015,1,12,16,0.000000,0.000000,0.000000,193.467752,193.467752,257.957002
281,2015,1,12,17,0.000000,0.000000,0.000000,191.779108,191.779108,255.705477
282,2015,1,12,18,0.000000,0.000000,0.000000,190.545680,190.545680,254.060907
283,2015,1,12,19,0.000000,0.000000,0.000000,186.889644,186.889644,249.186193
284,2015,1,12,20,0.000000,0.000000,0.000000,182.099003,182.099003,242.798671
285,2015,1,12,21,0.000000,0.000000,0.000000,176.335123,176.335123,235.113497
286,2015,1,12,22,0.000000,0.000000,0.000000,161.298979,161.298979,215.065306
287,2015,1,12,23,0.000000,0.000000,0.000000,142.293083,142.293083,189.724111
288,2015,1,12,24,0.000000,0.000000,0.000000,136.416580,136.416580,181.888773
289,2015,1,13,1,0.000000,0.000000,0.000000,124.210373,124.210373,165.613831
290,2015,1,13,2,0.000000,0.000000,0.000000,126.197867,126.197867,168.263823
291,2015,1,13,3,0.000000,0.000000,0.000000,117.065940,117.065940,156.087920
292,2015,1,13,4,0.000000,0.000000,0.000000,114.745102,114.745102,152.993469
293,2015,1,13,5,0.000000,0.000000,0.000000,118.022938,118.022938,157.363917
294,2015,1,13,6,0.000000,0.000000,0.000000,129.425112,129.425112,172.566816
295,2015,1,13,7,0.000000,0.000000,0.000000,149.278957,149.278957,199.038609
296,2015,1,13,8,0.000000,0.000000,0.000000,162.306097,162.306097,216.408130
297,2015,1,13,9,0.000000,0.000000,0.000000,169.809652,169.809652,226.412869
298,2015,1,13,10,0.000000,0.000000,0.000000,173.818734,173.818734,231.758312
299,2015,1,13,11,0.000000,0.000000,0.000000,176.155436,176.155436,234.873915
300,2015,1,13,12,0.000000,0.000000,0.000000,177.135205,177.135205,236.180273
301,2015,1,13,13,0.000000,0.000000,0.000000,178.170659,178.170659,237.560879
302,2015,1,13,14,0.000000,0.000000,0.000000,180.217938,180.217938,240.290584
303,2015,1,13,15,0.000000,0.000000,0.000000,174.340871,174.340871,232.454494
304,2015,1,13,16,0.000000,0.000000,0.000000,159.583108,159.583108,212.777477
305,2015,1,13,17,0.000000,0.000000,0.000000,148.606964,148.606964,198.142619
306,2015,1,13,18,0.000000,0.000000,0.000000,137.651350,137.651350,183.535134
307,2015,1,13,19,0.000000,0.000000,0.000000,129.989603,129.989603,173.319470
308,2015,1,13,20,0.000000,0.000000,0.000000,127.243918,127.243918,169.658558
309,2015,1,13,21,0.000000,0.000000,0.000000,123.029640,123.029640,164.039521
310,2015,1,13,22,0.000000,0.000000,0.000000,113.823877,113.823877,151.765169
311,2015,1,13,23,0.000000,0.000000,0.000000,106.809788,106.809788,142.413050
312,2015,1,13,24,0.000000,0.000000,0.000000,108.933421,108.933421,145.244561
313,2015,1,14,1,0.000000,0.000000,0.000000,102.793575,102.793575,137.058099
314,2015,1,14,2,0.000000,0.000000,0.000000,106.930383,106.930383,142.573844
315,2015,1,14,3,0.000000,0.000000,0.000000,99.421496,99.421496,132.561995
316,2015,1,14,4,0.000000,0.000000,0.000000,98.503797,98.503797,131.338396
317,2015,1,14,5,0.000000,0.000000,0.000000,101.906443,101.906443,135.875257
318,2015,1,14,6,0.000000,0.000000,0.000000,109.840762,109.840762,146.454349
319,2015,1,14,7,0.000000,0.000000,0.000000,123.050008,123.050008,164.066677
320,2015,1,14,8,0.000000,0.000000,0.000000,128.584778,128.584778,171.446371
321,2015,1,14,9,0.000000,0.000000,0.000000,128.215836,128.215836,170.954448
322,2015,1,14,10,0.000000,0.000000,0.000000,126.574147,126.574147,168.765529
323,2015,1,14,11,0.000000,0.000000,0.000000,124.870426,124.870426,166.493901
324,2015,1,14,12,0.000000,0.000000,0.000000,121.927948,121.927948,162.570597
325,2015,1,14,13,0.000000,0.000000,0.000000,118.507683,118.507683,158.010244
326,2015,1,14,14,0.000000,0.000000,0.000000,117.032645,117.032645,156.043526
327,2015,1,14,15,0.000000,0.000000,0.000000,115.599352,115.599352,154.132470
328,2015,1,14,16,0.000000,0.000000,0.000000,116.298035,116.298035,155.064047
329,2015,1,14,17,0.000000,0.000000,0.000000,117.833539,117.833539,157.111386
330,2015,1,14,18,0.000000,0.000000,0.000000,114.398459,114.398459,152.531279
331,2015,1,14,19,0.000000,0.000000,0.000000,110.590378,110.590378,147.453838
332,2015,1,14,20,0.000000,0.000000,0.000000,109.474312,109.474312,145.965749
333,2015,1,14,21,0.000000,0.000000,0.000000,111.652791,111.652791,148.870389
334,2015,1,14,22,0.000000,0.000000,0.000000,106.279835,106.279835,141.706447
335,2015,1,14,23,0.000000,0.000000,0.000000,102.153606,102.153606,136.204808
336,2015,1,14,24,0.000000,0.000000,0.000000,106.922885,106.922885,142.563846
337,2015,1,15,1,0.000000,0.000000,0.000000,102.535688,102.535688,136.714250
338,2015,1,15,2,0.000000,0.000000,0.000000,107.090067,107.090067,142.786756
339,2015,1,15,3,0.000000,0.000000,0.000000,100.464746,100.464746,133.952994
